HourUTC;HourDK;MunicipalityNo;SolarMWh;OffshoreWindLt100MW_MWh;OffshoreWindGe100MW_MWh;OnshoreWindMWh;ThermalPowerMWh
2020-12-31 23:00;2021-01-01 00:00;101;0,000000;1,027500;0,000000;0,449465;238,335571
2020-12-31 23:00;2021-01-01 00:00;147;0,000000;;;;0,000000
2020-12-31 23:00;2021-01-01 00:00;151;0,000000;;;;0,024330
2020-12-31 23:00;2021-01-01 00:00;153;0,000000;;;;0,000000
2020-12-31 23:00;2021-01-01 00:00;155;0,000000;;;;
2020-12-31 23:00;2021-01-01 00:00;157;0,000000;;;;
2020-12-31 23:00;2021-01-01 00:00;159;0,000000;;;;0,000020
2020-12-31 23:00;2021-01-01 00:00;161;0,000000;;;;27,660053
2020-12-31 23:00;2021-01-01 00:00;163;0,000000;;;;
2020-12-31 23:00;2021-01-01 00:00;165;0,000000;;;;0,000000
2020-12-31 23:00;2021-01-01 00:00;167;0,000000;2,871000;0,000000;0,383996;483,232971
2020-12-31 23:00;2021-01-01 00:00;169;0,000000;0,000000;0,000000;0,006401;0,000000
2020-12-31 23:00;2021-01-01 00:00;173;0,000000;;;;0,174960
2020-12-31 23:00;2021-01-01 00:00;175;0,000000;;;;
2020-12-31 23:00;2021-01-01 00:00;183;0,000000;0,000000;0,000000;0,000000;
2020-12-31 23:00;2021-01-01 00:00;185;0,000000;;;;0,000000
2020-12-31 23:00;2021-01-01 00:00;187;0,000000;;;;0,000000
2020-12-31 23:00;2021-01-01 00:00;190;0,000000;;;;0,000000
2020-12-31 23:00;2021-01-01 00:00;201;0,000000;0,000000;0,000000;0,000000;0,640600
2020-12-31 23:00;2021-01-01 00:00;210;0,000000;;;;0,105830
2020-12-31 23:00;2021-01-01 00:00;217;0,000000;0,000000;0,000000;0,000000;14,748320
2020-12-31 23:00;2021-01-01 00:00;219;0,000000;0,000000;0,000000;0,048409;3,914450
2020-12-31 23:00;2021-01-01 00:00;223;0,000000;;;;12,556836
2020-12-31 23:00;2021-01-01 00:00;230;0,000000;;;;0,007450
2020-12-31 23:00;2021-01-01 00:00;240;0,000000;0,000000;0,000000;0,000000;0,000000
2020-12-31 23:00;2021-01-01 00:00;250;0,000000;0,000000;0,000000;0,038530;0,899200
2020-12-31 23:00;2021-01-01 00:00;253;0,000000;0,000000;0,000000;0,010953;0,000010
2020-12-31 23:00;2021-01-01 00:00;259;0,000000;0,000000;0,000000;0,094417;15,114859
2020-12-31 23:00;2021-01-01 00:00;260;0,000000;0,000000;0,000000;0,198424;0,000030
2020-12-31 23:00;2021-01-01 00:00;265;0,000000;0,000000;0,000000;0,098318;28,554209
2020-12-31 23:00;2021-01-01 00:00;269;0,000000;0,000000;0,000000;0,000037;3,543738
2020-12-31 23:00;2021-01-01 00:00;270;0,000000;0,000000;0,000000;0,028227;0,000000
2020-12-31 23:00;2021-01-01 00:00;306;0,000000;0,000000;0,000000;0,084509;0,348870
2020-12-31 23:00;2021-01-01 00:00;316;0,000000;0,000000;0,000000;4,976300;0,276403
2020-12-31 23:00;2021-01-01 00:00;320;0,001000;0,000000;0,000000;2,420971;3,641725
2020-12-31 23:00;2021-01-01 00:00;326;0,000000;0,000000;0,000000;12,397071;11,303676
2020-12-31 23:00;2021-01-01 00:00;329;0,000000;0,000000;0,000000;0,398031;0,000030
2020-12-31 23:00;2021-01-01 00:00;330;0,000000;11,677700;0,000000;4,114883;12,206346
2020-12-31 23:00;2021-01-01 00:00;336;0,000000;0,000000;0,000000;0,850044;0,000000
2020-12-31 23:00;2021-01-01 00:00;340;0,000000;0,000000;0,000000;0,572525;0,015238
2020-12-31 23:00;2021-01-01 00:00;350;0,000000;0,000000;0,000000;0,130663;0,010320
2020-12-31 23:00;2021-01-01 00:00;360;0,000000;0,000000;139,911499;136,776688;0,000000
2020-12-31 23:00;2021-01-01 00:00;370;0,001000;0,000000;0,000000;10,199274;8,305455
2020-12-31 23:00;2021-01-01 00:00;376;0,000000;0,000000;65,713638;10,142721;14,262884
2020-12-31 23:00;2021-01-01 00:00;390;0,000000;0,000000;0,000000;2,030048;7,228300
2020-12-31 23:00;2021-01-01 00:00;400;0,000000;0,000000;0,000000;1,928310;0,000000
2020-12-31 23:00;2021-01-01 00:00;410;0,000000;0,000000;0,000000;0,011884;0,011867
2020-12-31 23:00;2021-01-01 00:00;411;0,000000;;;;
2020-12-31 23:00;2021-01-01 00:00;420;0,000000;0,000000;0,000000;0,139504;4,899410
2020-12-31 23:00;2021-01-01 00:00;430;0,000000;0,000000;0,000000;0,502199;0,000200
2020-12-31 23:00;2021-01-01 00:00;440;0,000000;0,000000;0,000000;4,393950;0,000000
2020-12-31 23:00;2021-01-01 00:00;450;0,000000;0,000000;0,000000;2,415084;3,594100
2020-12-31 23:00;2021-01-01 00:00;461;0,000000;0,000000;0,000000;0,566689;110,241920
2020-12-31 23:00;2021-01-01 00:00;479;0,000000;0,000000;0,000000;6,105588;4,955840
2020-12-31 23:00;2021-01-01 00:00;480;0,000000;0,000000;0,000000;0,668554;0,683433
2020-12-31 23:00;2021-01-01 00:00;482;0,000000;0,000000;0,000000;12,935840;0,000000
2020-12-31 23:00;2021-01-01 00:00;492;0,000000;0,000000;0,000000;8,416781;0,481279
2020-12-31 23:00;2021-01-01 00:00;510;0,000000;0,000000;0,000000;0,825107;1,111056
2020-12-31 23:00;2021-01-01 00:00;530;0,000000;0,000000;0,000000;0,349974;1,611544
2020-12-31 23:00;2021-01-01 00:00;540;0,000000;0,000000;0,000000;1,117671;4,731911
2020-12-31 23:00;2021-01-01 00:00;550;0,000000;0,000000;0,000000;3,362810;0,306443
2020-12-31 23:00;2021-01-01 00:00;561;0,000000;0,000000;0,000000;0,135759;168,383942
2020-12-31 23:00;2021-01-01 00:00;563;0,000000;0,000000;0,000000;0,000000;
2020-12-31 23:00;2021-01-01 00:00;573;0,000000;0,000000;0,000000;0,131378;2,691210
2020-12-31 23:00;2021-01-01 00:00;575;0,000000;0,000000;0,000000;0,124315;0,000171
2020-12-31 23:00;2021-01-01 00:00;580;0,000000;0,000000;0,000000;3,054474;0,622417
2020-12-31 23:00;2021-01-01 00:00;607;0,000000;0,000000;0,000000;0,002500;32,001080
2020-12-31 23:00;2021-01-01 00:00;615;0,000000;0,000000;0,000000;0,371374;12,881300
2020-12-31 23:00;2021-01-01 00:00;621;0,000000;0,000000;0,000000;0,464360;6,299342
2020-12-31 23:00;2021-01-01 00:00;630;0,000000;0,000000;0,000000;0,089979;1,283266
2020-12-31 23:00;2021-01-01 00:00;657;0,000000;0,000000;0,000000;0,017067;37,177315
2020-12-31 23:00;2021-01-01 00:00;661;0,000000;0,000000;0,000000;0,610750;18,826000
2020-12-31 23:00;2021-01-01 00:00;665;0,000000;1,262497;0,000000;4,064390;10,670000
2020-12-31 23:00;2021-01-01 00:00;671;0,000000;0,000000;0,000000;0,480000;0,000000
2020-12-31 23:00;2021-01-01 00:00;706;0,000000;0,000000;0,000000;0,184975;0,708503
2020-12-31 23:00;2021-01-01 00:00;707;0,000000;0,000000;86,133430;0,058078;0,040740
2020-12-31 23:00;2021-01-01 00:00;710;0,000000;0,000000;0,000000;0,005000;1,500460
2020-12-31 23:00;2021-01-01 00:00;727;0,000000;0,182600;0,000000;0,026015;0,000000
2020-12-31 23:00;2021-01-01 00:00;730;0,000000;0,000000;0,000000;1,503170;29,040014
2020-12-31 23:00;2021-01-01 00:00;740;0,000000;0,000000;0,000000;0,002485;92,142944
2020-12-31 23:00;2021-01-01 00:00;741;0,000000;0,000000;0,000000;1,693872;0,000000
2020-12-31 23:00;2021-01-01 00:00;746;0,000000;0,000000;0,000000;0,000000;2,108600
2020-12-31 23:00;2021-01-01 00:00;751;0,000000;0,000000;0,000000;0,000000;287,332245
2020-12-31 23:00;2021-01-01 00:00;756;0,000000;0,000000;0,000000;0,078000;2,356888
2020-12-31 23:00;2021-01-01 00:00;760;0,000000;0,000000;0,000000;2,064500;24,607309
2020-12-31 23:00;2021-01-01 00:00;766;0,000000;0,000000;0,000000;0,007203;0,000300
2020-12-31 23:00;2021-01-01 00:00;773;0,000000;0,000000;0,000000;0,094040;3,323200
2020-12-31 23:00;2021-01-01 00:00;779;0,000000;0,000000;0,000000;0,000002;9,622539
2020-12-31 23:00;2021-01-01 00:00;787;0,000000;0,000000;0,000000;1,798490;2,817360
2020-12-31 23:00;2021-01-01 00:00;791;0,000000;0,000000;0,000000;1,524982;60,541878
2020-12-31 23:00;2021-01-01 00:00;810;0,000000;0,000000;0,000000;0,131435;1,540800
2020-12-31 23:00;2021-01-01 00:00;813;0,000000;0,000000;0,000000;0,016940;2,529320
2020-12-31 23:00;2021-01-01 00:00;820;0,001000;0,000000;0,000000;0,000000;3,988780
2020-12-31 23:00;2021-01-01 00:00;825;0,000000;0,000000;0,000000;0,000000;0,000000
2020-12-31 23:00;2021-01-01 00:00;840;0,000000;0,000000;0,000000;0,149861;0,000000
2020-12-31 23:00;2021-01-01 00:00;846;0,000000;0,000000;0,000000;0,275600;0,176210
2020-12-31 23:00;2021-01-01 00:00;849;0,000000;0,000000;0,000000;2,024318;0,000000
2020-12-31 23:00;2021-01-01 00:00;851;0,000000;0,000000;0,000000;0,063980;337,080383
2020-12-31 23:00;2021-01-01 00:00;860;0,000000;0,000000;0,000000;0,126069;9,135420
2020-12-31 23:00;2021-01-01 00:00;999;;6,891596;0,000000;0,650634;0,000000
2021-01-01 00:00;2021-01-01 01:00;101;0,000000;2,700300;0,000000;0,870357;232,103561
2021-01-01 00:00;2021-01-01 01:00;147;0,000000;;;;0,000000
2021-01-01 00:00;2021-01-01 01:00;151;0,000000;;;;0,000000
2021-01-01 00:00;2021-01-01 01:00;153;0,000000;;;;0,000000
2021-01-01 00:00;2021-01-01 01:00;155;0,000000;;;;
2021-01-01 00:00;2021-01-01 01:00;157;0,000000;;;;
2021-01-01 00:00;2021-01-01 01:00;159;0,000000;;;;0,000040
2021-01-01 00:00;2021-01-01 01:00;161;0,000000;;;;31,357796
2021-01-01 00:00;2021-01-01 01:00;163;0,000000;;;;
2021-01-01 00:00;2021-01-01 01:00;165;0,000000;;;;0,000000
2021-01-01 00:00;2021-01-01 01:00;167;0,000000;1,994700;0,000000;0,167879;483,695343
2021-01-01 00:00;2021-01-01 01:00;169;0,000000;0,000000;0,000000;0,032710;0,000000
2021-01-01 00:00;2021-01-01 01:00;173;0,000000;;;;0,079650
2021-01-01 00:00;2021-01-01 01:00;175;0,000000;;;;
2021-01-01 00:00;2021-01-01 01:00;183;0,000000;0,000000;0,000000;0,000000;
2021-01-01 00:00;2021-01-01 01:00;185;0,000000;;;;0,000000
2021-01-01 00:00;2021-01-01 01:00;187;0,000000;;;;0,000000
2021-01-01 00:00;2021-01-01 01:00;190;0,000000;;;;0,000000
2021-01-01 00:00;2021-01-01 01:00;201;0,000000;0,000000;0,000000;0,000000;1,025100
2021-01-01 00:00;2021-01-01 01:00;210;0,000000;;;;0,000000
2021-01-01 00:00;2021-01-01 01:00;217;0,000000;0,000000;0,000000;0,000000;14,714380
2021-01-01 00:00;2021-01-01 01:00;219;0,000000;0,000000;0,000000;0,024352;3,925960
2021-01-01 00:00;2021-01-01 01:00;223;0,000000;;;;12,787888
2021-01-01 00:00;2021-01-01 01:00;230;0,000000;;;;0,008240
2021-01-01 00:00;2021-01-01 01:00;240;0,000000;0,000000;0,000000;0,000010;0,000000
2021-01-01 00:00;2021-01-01 01:00;250;0,000000;0,000000;0,000000;0,047421;0,897730
2021-01-01 00:00;2021-01-01 01:00;253;0,000000;0,000000;0,000000;0,009824;0,000010
2021-01-01 00:00;2021-01-01 01:00;259;0,000000;0,000000;0,000000;0,124786;15,018070
2021-01-01 00:00;2021-01-01 01:00;260;0,000000;0,000000;0,000000;0,172037;0,000090
2021-01-01 00:00;2021-01-01 01:00;265;0,000000;0,000000;0,000000;0,256626;28,633871
2021-01-01 00:00;2021-01-01 01:00;269;0,000000;0,000000;0,000000;0,000635;3,544238
2021-01-01 00:00;2021-01-01 01:00;270;0,000000;0,000000;0,000000;0,036319;0,000000
2021-01-01 00:00;2021-01-01 01:00;306;0,000000;0,000000;0,000000;0,075192;0,000060
2021-01-01 00:00;2021-01-01 01:00;316;0,000000;0,000000;0,000000;2,859060;0,140801
2021-01-01 00:00;2021-01-01 01:00;320;0,001000;0,000000;0,000000;2,151857;3,626411
2021-01-01 00:00;2021-01-01 01:00;326;0,000000;0,000000;0,000000;10,111613;15,279873
2021-01-01 00:00;2021-01-01 01:00;329;0,000000;0,000000;0,000000;0,357695;0,000010
2021-01-01 00:00;2021-01-01 01:00;330;0,000000;9,580600;0,000000;4,393263;11,938362
2021-01-01 00:00;2021-01-01 01:00;336;0,000000;0,000000;0,000000;0,884904;0,000000
2021-01-01 00:00;2021-01-01 01:00;340;0,000000;0,000000;0,000000;0,448800;0,000000
2021-01-01 00:00;2021-01-01 01:00;350;0,000000;0,000000;0,000000;0,305631;0,010370
2021-01-01 00:00;2021-01-01 01:00;360;0,000000;0,000000;117,691597;120,709076;0,000000
2021-01-01 00:00;2021-01-01 01:00;370;0,001000;0,000000;0,000000;11,190116;8,417354
2021-01-01 00:00;2021-01-01 01:00;376;0,000000;0,000000;53,114456;9,684838;12,318094
2021-01-01 00:00;2021-01-01 01:00;390;0,000000;0,000000;0,000000;1,885769;7,082000
2021-01-01 00:00;2021-01-01 01:00;400;0,000000;0,000000;0,000000;1,534580;0,000000
2021-01-01 00:00;2021-01-01 01:00;410;0,000000;0,000000;0,000000;0,059435;0,011839
2021-01-01 00:00;2021-01-01 01:00;411;0,000000;;;;
2021-01-01 00:00;2021-01-01 01:00;420;0,000000;0,000000;0,000000;0,035400;4,673933
2021-01-01 00:00;2021-01-01 01:00;430;0,000000;0,000000;0,000000;0,162091;0,000300
2021-01-01 00:00;2021-01-01 01:00;440;0,000000;0,000000;0,000000;2,366800;0,000000
2021-01-01 00:00;2021-01-01 01:00;450;0,000000;0,000000;0,000000;1,113347;3,651800
2021-01-01 00:00;2021-01-01 01:00;461;0,000000;0,000000;0,000000;0,150564;107,553520
2021-01-01 00:00;2021-01-01 01:00;479;0,000000;0,000000;0,000000;3,577735;4,891930
2021-01-01 00:00;2021-01-01 01:00;480;0,000000;0,000000;0,000000;0,214461;0,573426
2021-01-01 00:00;2021-01-01 01:00;482;0,000000;0,000000;0,000000;9,399960;0,000000
2021-01-01 00:00;2021-01-01 01:00;492;0,000000;0,000000;0,000000;7,615997;0,482569
2021-01-01 00:00;2021-01-01 01:00;510;0,000000;0,000000;0,000000;0,814102;1,108059
2021-01-01 00:00;2021-01-01 01:00;530;0,000000;0,000000;0,000000;0,188013;1,609626
2021-01-01 00:00;2021-01-01 01:00;540;0,000000;0,000000;0,000000;1,072302;4,664558
2021-01-01 00:00;2021-01-01 01:00;550;0,000000;0,000000;0,000000;1,092037;0,307251
2021-01-01 00:00;2021-01-01 01:00;561;0,000000;0,000000;0,000000;0,041362;181,314423
2021-01-01 00:00;2021-01-01 01:00;563;0,000000;0,000000;0,000000;0,000000;
2021-01-01 00:00;2021-01-01 01:00;573;0,000000;0,000000;0,000000;0,147411;2,691703
2021-01-01 00:00;2021-01-01 01:00;575;0,000000;0,000000;0,000000;0,261667;0,000151
2021-01-01 00:00;2021-01-01 01:00;580;0,000000;0,000000;0,000000;1,459791;0,622517
2021-01-01 00:00;2021-01-01 01:00;607;0,000000;0,000000;0,000000;0,002500;31,348892
2021-01-01 00:00;2021-01-01 01:00;615;0,000000;0,000000;0,000000;0,367561;12,891520
2021-01-01 00:00;2021-01-01 01:00;621;0,000000;0,000000;0,000000;0,591372;6,317500
2021-01-01 00:00;2021-01-01 01:00;630;0,000000;0,000000;0,000000;0,096414;1,263910
2021-01-01 00:00;2021-01-01 01:00;657;0,000000;0,000000;0,000000;0,010950;36,640217
2021-01-01 00:00;2021-01-01 01:00;661;0,000000;0,000000;0,000000;2,737000;19,060249
2021-01-01 00:00;2021-01-01 01:00;665;0,000000;0,320215;0,000000;4,756000;10,679000
2021-01-01 00:00;2021-01-01 01:00;671;0,000000;0,000000;0,000000;0,840000;0,000000
2021-01-01 00:00;2021-01-01 01:00;706;0,000000;0,000000;0,000000;0,528252;0,708594
2021-01-01 00:00;2021-01-01 01:00;707;0,000000;0,000000;69,114326;0,009713;0,040020
2021-01-01 00:00;2021-01-01 01:00;710;0,000000;0,000000;0,000000;0,000000;1,451000
2021-01-01 00:00;2021-01-01 01:00;727;0,000000;0,027100;0,000000;0,000100;0,000000
2021-01-01 00:00;2021-01-01 01:00;730;0,000000;0,000000;0,000000;0,884691;29,309389
2021-01-01 00:00;2021-01-01 01:00;740;0,000000;0,000000;0,000000;0,002957;49,172043
2021-01-01 00:00;2021-01-01 01:00;741;0,000000;0,000000;0,000000;1,826466;0,000000
2021-01-01 00:00;2021-01-01 01:00;746;0,000000;0,000000;0,000000;0,000000;2,102900
2021-01-01 00:00;2021-01-01 01:00;751;0,000000;0,000000;0,000000;0,000000;295,038849
2021-01-01 00:00;2021-01-01 01:00;756;0,000000;0,000000;0,000000;0,077900;1,607580
2021-01-01 00:00;2021-01-01 01:00;760;0,000000;0,000000;0,000000;1,440000;24,067129
2021-01-01 00:00;2021-01-01 01:00;766;0,000000;0,000000;0,000000;0,022682;0,000400
2021-01-01 00:00;2021-01-01 01:00;773;0,000000;0,000000;0,000000;0,210760;3,323200
2021-01-01 00:00;2021-01-01 01:00;779;0,000000;0,000000;0,000000;0,000000;9,649806
2021-01-01 00:00;2021-01-01 01:00;787;0,000000;0,000000;0,000000;3,402897;2,803360
2021-01-01 00:00;2021-01-01 01:00;791;0,000000;0,000000;0,000000;1,517999;60,421112
2021-01-01 00:00;2021-01-01 01:00;810;0,000000;0,000000;0,000000;0,371473;1,569500
2021-01-01 00:00;2021-01-01 01:00;813;0,000000;0,090000;0,000000;0,056194;2,531710
2021-01-01 00:00;2021-01-01 01:00;820;0,001000;0,000000;0,000000;0,000000;3,243770
2021-01-01 00:00;2021-01-01 01:00;825;0,000000;0,000000;0,000000;0,000000;0,000000
2021-01-01 00:00;2021-01-01 01:00;840;0,000000;0,000000;0,000000;0,010100;0,000000
2021-01-01 00:00;2021-01-01 01:00;846;0,000000;0,000000;0,000000;0,036512;0,151310
2021-01-01 00:00;2021-01-01 01:00;849;0,000000;0,000000;0,000000;0,068674;0,000000
2021-01-01 00:00;2021-01-01 01:00;851;0,000000;0,000000;0,000000;0,231744;340,653625
2021-01-01 00:00;2021-01-01 01:00;860;0,000000;0,000000;0,000000;0,075050;9,083050
2021-01-01 00:00;2021-01-01 01:00;999;;6,977432;0,000000;0,468358;0,000000
2021-01-01 01:00;2021-01-01 02:00;101;0,000000;0,865700;0,000000;0,332333;208,508072
2021-01-01 01:00;2021-01-01 02:00;147;0,000000;;;;0,000000
2021-01-01 01:00;2021-01-01 02:00;151;0,000000;;;;0,000000
2021-01-01 01:00;2021-01-01 02:00;153;0,000000;;;;0,000000
2021-01-01 01:00;2021-01-01 02:00;155;0,000000;;;;
2021-01-01 01:00;2021-01-01 02:00;157;0,000000;;;;
2021-01-01 01:00;2021-01-01 02:00;159;0,000000;;;;0,000010
