HourUTC;HourDK;MunicipalityNo;SolarMWh;OffshoreWindLt100MW_MWh;OffshoreWindGe100MW_MWh;OnshoreWindMWh;ThermalPowerMWh
2021-01-01 01:00;2021-01-01 02:00;161;0,000000;;;;32,154976
2021-01-01 01:00;2021-01-01 02:00;163;0,000000;;;;
2021-01-01 01:00;2021-01-01 02:00;165;0,000000;;;;0,000000
2021-01-01 01:00;2021-01-01 02:00;167;0,000000;2,604900;0,000000;0,227495;483,329529
2021-01-01 01:00;2021-01-01 02:00;169;0,000000;0,000000;0,000000;0,021003;0,000000
2021-01-01 01:00;2021-01-01 02:00;173;0,000000;;;;0,218890
2021-01-01 01:00;2021-01-01 02:00;175;0,000000;;;;
2021-01-01 01:00;2021-01-01 02:00;183;0,000000;0,000000;0,000000;0,000000;
2021-01-01 01:00;2021-01-01 02:00;185;0,000000;;;;0,000000
2021-01-01 01:00;2021-01-01 02:00;187;0,000000;;;;0,000000
2021-01-01 01:00;2021-01-01 02:00;190;0,000000;;;;0,000000
2021-01-01 01:00;2021-01-01 02:00;201;0,000000;0,000000;0,000000;0,000000;1,029060
2021-01-01 01:00;2021-01-01 02:00;210;0,000000;;;;0,000000
2021-01-01 01:00;2021-01-01 02:00;217;0,000000;0,000000;0,000000;0,000000;14,713420
2021-01-01 01:00;2021-01-01 02:00;219;0,000000;0,000000;0,000000;0,016110;3,927240
2021-01-01 01:00;2021-01-01 02:00;223;0,000000;;;;12,886368
2021-01-01 01:00;2021-01-01 02:00;230;0,000000;;;;0,008280
2021-01-01 01:00;2021-01-01 02:00;240;0,000000;0,000000;0,000000;0,000060;0,000000
2021-01-01 01:00;2021-01-01 02:00;250;0,000000;0,000000;0,000000;0,046877;0,897290
2021-01-01 01:00;2021-01-01 02:00;253;0,000000;0,000000;0,000000;0,013859;0,000010
2021-01-01 01:00;2021-01-01 02:00;259;0,000000;0,000000;0,000000;0,082625;14,890064
2021-01-01 01:00;2021-01-01 02:00;260;0,000000;0,000000;0,000000;0,082375;0,000010
2021-01-01 01:00;2021-01-01 02:00;265;0,000000;0,000000;0,000000;0,216726;28,587824
2021-01-01 01:00;2021-01-01 02:00;269;0,000000;0,000000;0,000000;0,000721;3,543538
2021-01-01 01:00;2021-01-01 02:00;270;0,000000;0,000000;0,000000;0,018482;0,000000
2021-01-01 01:00;2021-01-01 02:00;306;0,000000;0,000000;0,000000;0,057133;0,000000
2021-01-01 01:00;2021-01-01 02:00;316;0,000000;0,000000;0,000000;2,509929;0,053453
2021-01-01 01:00;2021-01-01 02:00;320;0,000000;0,000000;0,000000;2,825261;3,670523
2021-01-01 01:00;2021-01-01 02:00;326;0,000000;0,000000;0,000000;9,065155;11,960492
2021-01-01 01:00;2021-01-01 02:00;329;0,000000;0,000000;0,000000;0,364766;0,000040
2021-01-01 01:00;2021-01-01 02:00;330;0,000000;6,175900;0,000000;3,895981;11,891973
2021-01-01 01:00;2021-01-01 02:00;336;0,000000;0,000000;0,000000;0,991781;0,000000
2021-01-01 01:00;2021-01-01 02:00;340;0,000000;0,000000;0,000000;0,559238;0,000000
2021-01-01 01:00;2021-01-01 02:00;350;0,000000;0,000000;0,000000;0,304892;0,010370
2021-01-01 01:00;2021-01-01 02:00;360;0,000000;0,000000;116,661697;107,335945;0,000000
2021-01-01 01:00;2021-01-01 02:00;370;0,000000;0,000000;0,000000;12,062342;8,592754
2021-01-01 01:00;2021-01-01 02:00;376;0,000000;0,000000;49,114368;7,067280;12,284532
2021-01-01 01:00;2021-01-01 02:00;390;0,000000;0,000000;0,000000;2,413788;7,030000
2021-01-01 01:00;2021-01-01 02:00;400;0,000000;0,000000;0,000000;2,718440;0,000000
2021-01-01 01:00;2021-01-01 02:00;410;0,000000;0,000000;0,000000;0,358181;0,011854
2021-01-01 01:00;2021-01-01 02:00;411;0,000000;;;;
2021-01-01 01:00;2021-01-01 02:00;420;0,000000;0,000000;0,000000;0,291622;4,662656
2021-01-01 01:00;2021-01-01 02:00;430;0,000000;0,000000;0,000000;0,087592;0,000200
2021-01-01 01:00;2021-01-01 02:00;440;0,000000;0,000000;0,000000;0,831650;0,000000
2021-01-01 01:00;2021-01-01 02:00;450;0,000000;0,000000;0,000000;0,315057;3,659100
2021-01-01 01:00;2021-01-01 02:00;461;0,000000;0,000000;0,000000;0,001147;107,073135
2021-01-01 01:00;2021-01-01 02:00;479;0,000000;0,000000;0,000000;2,362184;4,788720
2021-01-01 01:00;2021-01-01 02:00;480;0,000000;0,000000;0,000000;0,016380;0,571409
2021-01-01 01:00;2021-01-01 02:00;482;0,000000;0,000000;0,000000;7,443010;0,000000
2021-01-01 01:00;2021-01-01 02:00;492;0,000000;0,000000;0,000000;3,545853;0,481756
2021-01-01 01:00;2021-01-01 02:00;510;0,000000;0,000000;0,000000;0,754917;1,105063
2021-01-01 01:00;2021-01-01 02:00;530;0,000000;0,000000;0,000000;0,279885;1,610582
2021-01-01 01:00;2021-01-01 02:00;540;0,000000;0,000000;0,000000;0,963365;4,719002
2021-01-01 01:00;2021-01-01 02:00;550;0,000000;0,000000;0,000000;0,441372;0,306399
2021-01-01 01:00;2021-01-01 02:00;561;0,000000;0,000000;3,310400;0,006903;131,205338
2021-01-01 01:00;2021-01-01 02:00;563;0,000000;0,000000;0,000000;0,000000;
2021-01-01 01:00;2021-01-01 02:00;573;0,000000;0,000000;0,000000;0,019013;2,690988
2021-01-01 01:00;2021-01-01 02:00;575;0,000000;0,000000;0,000000;0,158505;0,000178
2021-01-01 01:00;2021-01-01 02:00;580;0,000000;0,000000;0,000000;0,517028;0,622596
2021-01-01 01:00;2021-01-01 02:00;607;0,000000;0,000000;0,000000;0,001300;31,065596
2021-01-01 01:00;2021-01-01 02:00;615;0,000000;0,000000;0,000000;0,366031;13,268835
2021-01-01 01:00;2021-01-01 02:00;621;0,000000;0,000000;0,000000;0,857076;5,950400
2021-01-01 01:00;2021-01-01 02:00;630;0,000000;0,000000;0,000000;0,103584;1,270467
2021-01-01 01:00;2021-01-01 02:00;657;0,000000;0,000000;0,000000;0,070321;36,569923
2021-01-01 01:00;2021-01-01 02:00;661;0,000000;0,000000;0,000000;1,525000;18,767500
2021-01-01 01:00;2021-01-01 02:00;665;0,001000;0,150055;0,000000;0,613000;10,667000
2021-01-01 01:00;2021-01-01 02:00;671;0,000000;0,000000;0,000000;0,939999;0,000000
2021-01-01 01:00;2021-01-01 02:00;706;0,000000;0,000000;0,000000;0,584510;0,708942
2021-01-01 01:00;2021-01-01 02:00;707;0,000000;0,000000;65,842155;0,006569;0,039960
2021-01-01 01:00;2021-01-01 02:00;710;0,000000;0,000000;0,000000;0,000000;1,451820
2021-01-01 01:00;2021-01-01 02:00;727;0,000000;0,066400;0,000000;0,010170;0,000000
2021-01-01 01:00;2021-01-01 02:00;730;0,000000;0,000000;0,000000;0,003000;29,701321
2021-01-01 01:00;2021-01-01 02:00;740;0,000000;0,000000;0,000000;0,004283;48,526180
2021-01-01 01:00;2021-01-01 02:00;741;0,000000;0,000000;0,000000;1,174168;0,000000
2021-01-01 01:00;2021-01-01 02:00;746;0,000000;0,000000;0,000000;0,000000;2,130900
2021-01-01 01:00;2021-01-01 02:00;751;0,000000;0,000000;0,000000;0,000000;264,379944
2021-01-01 01:00;2021-01-01 02:00;756;0,000000;0,000000;0,000000;0,133700;1,895940
2021-01-01 01:00;2021-01-01 02:00;760;0,000000;0,000000;0,000000;2,081200;24,104130
2021-01-01 01:00;2021-01-01 02:00;766;0,000000;0,000000;0,000000;0,026201;0,000300
2021-01-01 01:00;2021-01-01 02:00;773;0,000000;0,000000;0,000000;0,017770;3,333120
2021-01-01 01:00;2021-01-01 02:00;779;0,000000;0,000000;0,000000;0,000000;9,792697
2021-01-01 01:00;2021-01-01 02:00;787;0,001000;0,000000;0,000000;2,312281;2,960370
2021-01-01 01:00;2021-01-01 02:00;791;0,000000;0,000000;0,000000;1,510085;60,542751
2021-01-01 01:00;2021-01-01 02:00;810;0,000000;0,000000;0,000000;0,164708;1,578300
2021-01-01 01:00;2021-01-01 02:00;813;0,000000;0,030000;0,000000;0,103480;2,505130
2021-01-01 01:00;2021-01-01 02:00;820;0,001000;0,000000;0,000000;0,001000;2,911360
2021-01-01 01:00;2021-01-01 02:00;825;0,000000;0,000000;0,000000;0,000000;0,000000
2021-01-01 01:00;2021-01-01 02:00;840;0,000000;0,000000;0,000000;0,000322;0,000000
2021-01-01 01:00;2021-01-01 02:00;846;0,000000;0,000000;0,000000;0,000000;0,151540
2021-01-01 01:00;2021-01-01 02:00;849;0,000000;0,000000;0,000000;0,236026;0,000000
2021-01-01 01:00;2021-01-01 02:00;851;0,000000;0,000000;0,000000;0,116684;253,460663
2021-01-01 01:00;2021-01-01 02:00;860;0,000000;0,000000;0,000000;0,177232;9,206530
2021-01-01 01:00;2021-01-01 02:00;999;;4,415238;0,000000;0,376435;0,000000
2021-01-01 02:00;2021-01-01 03:00;101;0,000000;2,377800;0,000000;1,233160;196,780472
2021-01-01 02:00;2021-01-01 03:00;147;0,000000;;;;0,000000
2021-01-01 02:00;2021-01-01 03:00;151;0,000000;;;;0,000000
2021-01-01 02:00;2021-01-01 03:00;153;0,000000;;;;0,000000
2021-01-01 02:00;2021-01-01 03:00;155;0,000000;;;;
2021-01-01 02:00;2021-01-01 03:00;157;0,000000;;;;
2021-01-01 02:00;2021-01-01 03:00;159;0,000000;;;;0,000190
2021-01-01 02:00;2021-01-01 03:00;161;0,000000;;;;32,240803
2021-01-01 02:00;2021-01-01 03:00;163;0,000000;;;;
2021-01-01 02:00;2021-01-01 03:00;165;0,000000;;;;0,000000
2021-01-01 02:00;2021-01-01 03:00;167;0,000000;4,076700;0,000000;0,587961;481,733704
2021-01-01 02:00;2021-01-01 03:00;169;0,000000;0,000000;0,000000;0,047260;0,000000
2021-01-01 02:00;2021-01-01 03:00;173;0,000000;;;;0,218920
2021-01-01 02:00;2021-01-01 03:00;175;0,000000;;;;
2021-01-01 02:00;2021-01-01 03:00;183;0,000000;0,000000;0,000000;0,000000;
2021-01-01 02:00;2021-01-01 03:00;185;0,000000;;;;0,000000
2021-01-01 02:00;2021-01-01 03:00;187;0,000000;;;;0,000000
2021-01-01 02:00;2021-01-01 03:00;190;0,000000;;;;0,000000
2021-01-01 02:00;2021-01-01 03:00;201;0,000000;0,000000;0,000000;0,000000;0,086530
2021-01-01 02:00;2021-01-01 03:00;210;0,000000;;;;0,000000
2021-01-01 02:00;2021-01-01 03:00;217;0,000000;0,000000;0,000000;0,000000;14,754200
2021-01-01 02:00;2021-01-01 03:00;219;0,000000;0,000000;0,000000;0,004298;3,916430
2021-01-01 02:00;2021-01-01 03:00;223;0,000000;;;;12,676260
2021-01-01 02:00;2021-01-01 03:00;230;0,000000;;;;0,007460
2021-01-01 02:00;2021-01-01 03:00;240;0,000000;0,000000;0,000000;0,000030;0,000000
2021-01-01 02:00;2021-01-01 03:00;250;0,000000;0,000000;0,000000;0,078007;0,903380
2021-01-01 02:00;2021-01-01 03:00;253;0,000000;0,000000;0,000000;0,061683;0,000010
2021-01-01 02:00;2021-01-01 03:00;259;0,000000;0,000000;0,000000;0,131554;13,852960
2021-01-01 02:00;2021-01-01 03:00;260;0,000000;0,000000;0,000000;0,029618;0,000010
2021-01-01 02:00;2021-01-01 03:00;265;0,000000;0,000000;0,000000;0,224877;28,696463
2021-01-01 02:00;2021-01-01 03:00;269;0,000000;0,000000;0,000000;0,027861;3,543638
2021-01-01 02:00;2021-01-01 03:00;270;0,000000;0,000000;0,000000;0,018161;0,000000
2021-01-01 02:00;2021-01-01 03:00;306;0,000000;0,000000;0,000000;0,055129;0,000000
2021-01-01 02:00;2021-01-01 03:00;316;0,000000;0,000000;0,000000;3,897398;0,000005
2021-01-01 02:00;2021-01-01 03:00;320;0,000000;0,000000;0,000000;2,710413;3,716100
2021-01-01 02:00;2021-01-01 03:00;326;0,000000;0,000000;0,000000;11,878008;10,851339
2021-01-01 02:00;2021-01-01 03:00;329;0,000000;0,000000;0,000000;0,437520;0,000000
2021-01-01 02:00;2021-01-01 03:00;330;0,000000;4,484400;0,000000;3,489129;11,992989
2021-01-01 02:00;2021-01-01 03:00;336;0,000000;0,000000;0,000000;0,977889;0,000000
2021-01-01 02:00;2021-01-01 03:00;340;0,000000;0,000000;0,000000;0,600804;0,000000
2021-01-01 02:00;2021-01-01 03:00;350;0,000000;0,000000;0,000000;0,392755;0,010370
2021-01-01 02:00;2021-01-01 03:00;360;0,000000;0,000000;97,221603;92,504311;0,000000
2021-01-01 02:00;2021-01-01 03:00;370;0,000000;0,000000;0,000000;11,378623;8,764054
2021-01-01 02:00;2021-01-01 03:00;376;0,000000;0,000000;42,113815;6,129249;12,268132
2021-01-01 02:00;2021-01-01 03:00;390;0,000000;0,000000;0,000000;1,404740;6,869600
2021-01-01 02:00;2021-01-01 03:00;400;0,000000;0,000000;0,000000;1,972000;0,000000
2021-01-01 02:00;2021-01-01 03:00;410;0,000000;0,000000;0,000000;0,306880;0,011889
2021-01-01 02:00;2021-01-01 03:00;411;0,000000;;;;
2021-01-01 02:00;2021-01-01 03:00;420;0,000000;0,000000;0,000000;0,515672;4,566648
2021-01-01 02:00;2021-01-01 03:00;430;0,000000;0,000000;0,000000;0,077346;0,000300
2021-01-01 02:00;2021-01-01 03:00;440;0,000000;0,000000;0,000000;0,155900;0,000000
2021-01-01 02:00;2021-01-01 03:00;450;0,000000;0,000000;0,000000;0,166382;3,630400
2021-01-01 02:00;2021-01-01 03:00;461;0,000000;0,000000;0,000000;0,000000;104,369980
2021-01-01 02:00;2021-01-01 03:00;479;0,000000;0,000000;0,000000;2,126600;3,594060
2021-01-01 02:00;2021-01-01 03:00;480;0,000000;0,000000;0,000000;0,000085;0,574649
2021-01-01 02:00;2021-01-01 03:00;482;0,000000;0,000000;0,000000;4,213180;0,000000
2021-01-01 02:00;2021-01-01 03:00;492;0,000000;0,000000;0,000000;2,044300;0,491683
2021-01-01 02:00;2021-01-01 03:00;510;0,000000;0,000000;0,000000;1,023765;1,112056
2021-01-01 02:00;2021-01-01 03:00;530;0,000000;0,000000;0,000000;0,753011;1,609536
2021-01-01 02:00;2021-01-01 03:00;540;0,000000;0,000000;0,000000;0,398273;4,904187
2021-01-01 02:00;2021-01-01 03:00;550;0,000000;0,000000;0,000000;0,271180;0,307409
2021-01-01 02:00;2021-01-01 03:00;561;0,000000;0,000000;4,385500;0,001801;121,238083
2021-01-01 02:00;2021-01-01 03:00;563;0,000000;0,000000;0,000000;0,000000;
2021-01-01 02:00;2021-01-01 03:00;573;0,000000;0,000000;0,000000;0,000000;2,691375
2021-01-01 02:00;2021-01-01 03:00;575;0,000000;0,000000;0,000000;0,106796;0,000118
2021-01-01 02:00;2021-01-01 03:00;580;0,000000;0,000000;0,000000;0,723980;0,622575
2021-01-01 02:00;2021-01-01 03:00;607;0,000000;0,000000;0,000000;0,042100;31,383305
2021-01-01 02:00;2021-01-01 03:00;615;0,000000;0,000000;0,000000;0,371316;13,844777
2021-01-01 02:00;2021-01-01 03:00;621;0,000000;0,000000;0,000000;1,182022;6,175200
2021-01-01 02:00;2021-01-01 03:00;630;0,000000;0,000000;0,000000;0,167533;1,299922
2021-01-01 02:00;2021-01-01 03:00;657;0,000000;0,000000;0,000000;0,026885;35,806137
2021-01-01 02:00;2021-01-01 03:00;661;0,000000;0,000000;0,000000;0,177000;18,545500
2021-01-01 02:00;2021-01-01 03:00;665;0,001000;0,370390;0,000000;0,440070;9,809000
2021-01-01 02:00;2021-01-01 03:00;671;0,000000;0,000000;0,000000;0,653800;0,000000
2021-01-01 02:00;2021-01-01 03:00;706;0,000000;0,000000;0,000000;0,480274;0,708851
2021-01-01 02:00;2021-01-01 03:00;707;0,000000;0,000000;54,496391;0,018943;0,040200
2021-01-01 02:00;2021-01-01 03:00;710;0,000000;0,000000;0,000000;0,000000;1,450100
2021-01-01 02:00;2021-01-01 03:00;727;0,000000;0,018900;0,000000;0,014989;0,000000
2021-01-01 02:00;2021-01-01 03:00;730;0,000000;0,000000;0,000000;0,000000;30,356630
2021-01-01 02:00;2021-01-01 03:00;740;0,000000;0,000000;0,000000;0,002635;48,581024
2021-01-01 02:00;2021-01-01 03:00;741;0,000000;0,000000;0,000000;1,413213;0,000000
2021-01-01 02:00;2021-01-01 03:00;746;0,000000;0,000000;0,000000;0,000000;2,098200
2021-01-01 02:00;2021-01-01 03:00;751;0,000000;0,000000;0,000000;0,000000;215,270630
2021-01-01 02:00;2021-01-01 03:00;756;0,000000;0,000000;0,000000;0,103600;1,965480
2021-01-01 02:00;2021-01-01 03:00;760;0,000000;0,000000;0,000000;0,917900;16,605339
2021-01-01 02:00;2021-01-01 03:00;766;0,000000;0,000000;0,000000;0,077043;0,000400
2021-01-01 02:00;2021-01-01 03:00;773;0,000000;0,000000;0,000000;0,100350;3,323200
2021-01-01 02:00;2021-01-01 03:00;779;0,000000;0,000000;0,000000;0,000000;10,081231
2021-01-01 02:00;2021-01-01 03:00;787;0,001000;0,000000;0,000000;0,503666;2,986320
2021-01-01 02:00;2021-01-01 03:00;791;0,000000;0,000000;0,000000;1,516820;58,497662
2021-01-01 02:00;2021-01-01 03:00;810;0,000000;0,000000;0,000000;0,000878;1,628300
2021-01-01 02:00;2021-01-01 03:00;813;0,000000;0,030000;0,000000;0,205240;2,683410
2021-01-01 02:00;2021-01-01 03:00;820;0,001000;0,000000;0,000000;0,177985;3,552920
2021-01-01 02:00;2021-01-01 03:00;825;0,000000;0,000000;0,000000;0,000000;0,000000
2021-01-01 02:00;2021-01-01 03:00;840;0,000000;0,000000;0,000000;0,000092;0,000000
2021-01-01 02:00;2021-01-01 03:00;846;0,001000;0,000000;0,000000;0,000012;0,151170
2021-01-01 02:00;2021-01-01 03:00;849;0,000000;0,000000;0,000000;0,663671;0,000000
2021-01-01 02:00;2021-01-01 03:00;851;0,000000;0,000000;0,000000;0,074132;218,790192
2021-01-01 02:00;2021-01-01 03:00;860;0,000000;0,000000;0,000000;0,268508;9,108600
2021-01-01 02:00;2021-01-01 03:00;999;;1,301802;0,700000;0,137258;0,000000
2021-01-01 03:00;2021-01-01 04:00;101;0,000000;1,502500;0,000000;1,114094;200,924408
2021-01-01 03:00;2021-01-01 04:00;147;0,000000;;;;0,000000
2021-01-01 03:00;2021-01-01 04:00;151;0,000000;;;;0,000000
2021-01-01 03:00;2021-01-01 04:00;153;0,000000;;;;0,000000
2021-01-01 03:00;2021-01-01 04:00;155;0,000000;;;;
2021-01-01 03:00;2021-01-01 04:00;157;0,000000;;;;
2021-01-01 03:00;2021-01-01 04:00;159;0,000000;;;;0,000100
2021-01-01 03:00;2021-01-01 04:00;161;0,000000;;;;32,187431
2021-01-01 03:00;2021-01-01 04:00;163;0,000000;;;;
2021-01-01 03:00;2021-01-01 04:00;165;0,000000;;;;0,000000
2021-01-01 03:00;2021-01-01 04:00;167;0,000000;2,991300;0,000000;0,215888;475,918915
2021-01-01 03:00;2021-01-01 04:00;169;0,000000;0,000000;0,000000;0,088045;0,000000
2021-01-01 03:00;2021-01-01 04:00;173;0,000000;;;;0,218860
2021-01-01 03:00;2021-01-01 04:00;175;0,000000;;;;
2021-01-01 03:00;2021-01-01 04:00;183;0,000000;0,000000;0,000000;0,000000;
2021-01-01 03:00;2021-01-01 04:00;185;0,000000;;;;0,000000
2021-01-01 03:00;2021-01-01 04:00;187;0,000000;;;;0,000000